epoch,total_loss,pde_loss,ic_loss,bc_loss,data_loss,eta,lambda_f,k,C_f
1.000000000000000000e+00,1.745892187500000000e+04,9.629998203308787197e-06,4.286471557617187500e+01,8.980147552490234375e+01,4.192301559448242188e+01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
2.000000000000000000e+00,1.623056250000000000e+04,6.660960207227617502e-05,4.096212387084960938e+01,8.220405578613281250e+01,3.913945770263671875e+01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
3.000000000000000000e+00,1.549609960937500000e+04,1.701767760096117854e-04,4.000534439086914062e+01,7.852770996093750000e+01,3.642794418334960938e+01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
4.000000000000000000e+00,1.440352734375000000e+04,3.207330591976642609e-04,3.817055511474609375e+01,7.212356567382812500e+01,3.374115371704101562e+01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
5.000000000000000000e+00,1.343113281250000000e+04,5.182888708077371120e-04,3.632690048217773438e+01,6.693905639648437500e+01,3.104537582397460938e+01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
6.000000000000000000e+00,1.235984765625000000e+04,7.801853353157639503e-04,3.462910079956054688e+01,6.064782714843750000e+01,2.832154655456542969e+01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
7.000000000000000000e+00,1.132153320312500000e+04,1.088485820218920708e-03,3.284121704101562500e+01,5.480725860595703125e+01,2.556685256958007812e+01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
8.000000000000000000e+00,1.035441015625000000e+04,1.462208572775125504e-03,3.091335105895996094e+01,4.983777618408203125e+01,2.279297065734863281e+01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
9.000000000000000000e+00,9.283359375000000000e+03,1.886086422018706799e-03,2.859675216674804688e+01,4.421562957763671875e+01,2.002120780944824219e+01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.000000000000000000e+01,8.250826171875000000e+03,2.403278835117816925e-03,2.613003540039062500e+01,3.909143066406250000e+01,1.728679466247558594e+01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.100000000000000000e+01,7.182371093750000000e+03,2.989258384332060814e-03,2.350120925903320312e+01,3.369145965576171875e+01,1.463104629516601562e+01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
